,items,total_fat,sat_fat,trans_fat,cholesterol,sodium,potassium,carbs,fiber,sugar,protein,source
0,baking soda,0.0,0.0,0.0,0.0,273.69565217391306,0.0,0.0,0.0,0.0,0.0,Nutritionix
1,buttermilk,0.008979591836734694,0.005306122448979592,0.0,0.04,1.9020408163265303,1.5102040816326532,0.048979591836734684,0.0,0.048979591836734684,0.03306122448979592,Nutritionix
2,cane sugar,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,USDA
3,canola oil,1.0,0.07142857142857142,0.0071428571428571435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nutritionix
4,chicory root fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.89,0.08,0.0,SHO
5,cocoa butter,1.0,0.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
6,cocoa mass,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,https://www.myfitnesspal.com/food/calories/100-cocoa-mass-317784351
7,cocoa powder,0.25,0.125,0.0,0.0,0.0,0.0,0.5,0.375,0.0,0.25,Nutritionix
8,coconut oil,0.9285714285714286,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nutritionix
9,corn starch,0.00078125,0.0,0.0,0.0,0.09375,0.0296875,0.9140625,0.009375,0.0,0.00234375,Nutritionix
10,corn syrup,0.002,0.0,0.0,0.0,0.62,0.01,0.7679,0.0,0.7666,0.0,USDA
11,cornstarch,0.00078125,0.0,0.0,0.0,0.09375,0.0296875,0.9140625,0.009375,0.0,0.00234375,Nutritionix
12,emulsifier,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SHO
13,gelatin,0.0,0.0,0.0,0.0,2.0,0.15714285714285714,0.0,0.0,0.0,0.8571428571428571,Nutritionix
14,glucose,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Nutritionix
15,high fructose corn syrup,0.0,0.0,0.0,0.0,0.02,0.0,0.76,0.0,0.7565000000000001,0.0,USDA
16,inulin,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.89,0.08,0.0,SHO
17,lactose,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,SHO
18,low fat milk solid,0.11,0.07,0.0,0.0,0.0,0.0,0.46,0.0,0.46,0.29,https://www.myfitnesspal.com/food/calories/low-fat-milk-powder-330605426
19,lowfat milk,0.009836065573770493,0.006147540983606557,0.0,0.04918032786885247,0.4385245901639344,1.5,0.04918032786885247,0.0,0.05327868852459016,0.03360655737704918,Nutritionix
20,milk solid,0.284,0.188,0.0,0.68,2.8,0.0,0.39,0.0,0.0,0.24,NTUC
21,nonfat milk,0.0008163265306122449,0.00040816326530612246,0.0,0.02,0.4204081632653061,1.5591836734693878,0.048979591836734684,0.0,0.048979591836734684,0.03387755102040817,Nutritionix
22,organic cane sugar,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,USDA
23,palm oil,1.0,0.4785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24,palm oil,1.0,0.4785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
25,salt,0.0,0.0,0.0,0.0,387.33333333333326,0.06666666666666668,0.0,0.0,0.0,0.0,Nutritionix
26,sea salt,0.0,0.0,0.0,0.0,387.33333333333326,0.06666666666666668,0.0,0.0,0.0,0.0,Nutritionix
27,sesame seeds,0.5,0.06785714285714285,0.0,0.0,0.11071428571428572,4.821428571428571,0.2607142857142857,0.14285714285714285,0.0,0.17142857142857146,Nutritionix
28,shredded coconut,0.2823529411764706,0.25882352941176473,0.0,0.0,2.8470588235294123,3.611764705882353,0.5176470588235295,0.09882352941176473,0.3647058823529412,0.031764705882352945,Nutritionix
29,sodium lactate,0.0,0.0,0.0,0.0,0.2054,0.0,0.0,0.0,0.0,0.0,calculated
30,sodium metabisulphite,0.0,0.0,0.0,0.0,0.2911,0.0,0.0,0.0,0.0,0.0,calculated
31,sucrose,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,USDA
32,sugar,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/575546/nutrients
33,vegetable oil,1.0,0.07142857142857142,0.021428571428571432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nutritionix
34,water,0.0,0.0,0.0,0.0,0.04008438818565401,0.0,0.0,0.0,0.0,0.0,Nutritionix
35,"wheat flour, white, all-purpose, enriched, unbleached",0.0098,0.00155,0.0,0.0,0.02,1.07,0.7631,0.027000000000000003,0.0027,0.1033,USDA
36,"wheat flour, white, all-purpose, self-rising, enriched",0.0097,0.00154,0.0,0.0,11.93,1.24,0.7422,0.027000000000000003,0.0022,0.0989,USDA
37,"wheat flour, white, bread, enriched",0.0166,0.00244,0.0,0.0,0.02,1.0,0.7253000000000001,0.024,0.0031,0.1198,USDA
38,"wheat flour, white, cake, enriched",0.0086,0.00127,0.0,0.0,0.02,1.05,0.7803,0.017,0.0031,0.08199999999999999,USDA
39,whey,0.015625,0.009375,0.0,0.159375,1.5625,5.0,0.0625,0.03125,0.0,0.78125,Nutritionix
40,yeast,0.075,0.0,0.0,0.0,0.5,9.5,0.4,0.275,0.0,0.4,Nutritionix
